시도명,방문자수,전년도 방문자수
서울특별시,6.25060791E8,6.21787395E8
부산광역시,1.42884E8,1.52092666E8
대구광역시,9.6749727E7,1.05992894E8
인천광역시,1.73062798E8,1.69470225E8
광주광역시,6.2743032E7,6.4297127E7
대전광역시,7.8249887E7,8.3054064E7
울산광역시,4.6460191E7,4.7271339E7
세종특별자치시,2.4436183E7,2.4258115E7
경기도,6.4083017E8,6.05701587E8
강원도,1.43850998E8,1.36176234E8
충청북도,1.00315235E8,1.04116967E8
충청남도,1.48477589E8,1.52683091E8
전라북도,8.9213822E7,9.0673905E7
전라남도,1.16042716E8,1.15816926E8
경상북도,1.62020742E8,1.7026587E8
경상남도,1.46512337E8,1.51112145E8
제주특별자치도,5.2857864E7,5.6157505E7
