시도명,방문자수,전년도 방문자수
서울특별시,6.21787395E8,2.43571968E8
부산광역시,1.52092666E8,6.144035E7
대구광역시,1.05992894E8,4.3687816E7
인천광역시,1.69470225E8,6.1297969E7
광주광역시,6.4297127E7,2.6450401E7
대전광역시,8.3054064E7,3.4328774E7
울산광역시,4.7271339E7,1.9060962E7
세종특별자치시,2.4258115E7,9289577.0
경기도,6.05701587E8,2.35996391E8
강원도,1.36176234E8,5.1587479E7
충청북도,1.04116967E8,4.0918696E7
충청남도,1.52683091E8,5.9617743E7
전라북도,9.0673905E7,3.6066082E7
전라남도,1.15816926E8,4.516539E7
경상북도,1.7026587E8,6.6930772E7
경상남도,1.51112145E8,6.0249581E7
제주특별자치도,5.6157505E7,2.1847245E7
