시도명,방문자수,전년도 방문자수
서울특별시,4.77556724E8,6.25060791E8
부산광역시,1.24050231E8,1.42884E8
대구광역시,8.8593405E7,9.6749727E7
인천광역시,1.33947551E8,1.73062798E8
광주광역시,5.5618452E7,6.2743032E7
대전광역시,6.8630554E7,7.8249887E7
울산광역시,4.30552E7,4.6460191E7
세종특별자치시,2.4579493E7,2.4436183E7
경기도,5.48932972E8,6.4083017E8
강원도,1.26493551E8,1.43850998E8
충청북도,9.3571534E7,1.00315235E8
충청남도,1.38648301E8,1.48477589E8
전라북도,8.289555E7,8.9213822E7
전라남도,1.10801703E8,1.16042716E8
경상북도,1.56930604E8,1.62020742E8
경상남도,1.39404845E8,1.46512337E8
제주특별자치도,5.1747388E7,5.2857864E7
