시도명,방문자수,전년도 방문자수
서울특별시,5.09732437E8,4.77556724E8
부산광역시,1.28796829E8,1.24050231E8
대구광역시,8.8500258E7,8.8593405E7
인천광역시,1.4147584E8,1.33947551E8
광주광역시,5.7174869E7,5.5618452E7
대전광역시,7.0847157E7,6.8630554E7
울산광역시,4.4693631E7,4.30552E7
세종특별자치시,2.6154304E7,2.4579493E7
경기도,5.68169688E8,5.48932972E8
강원도,1.41101794E8,1.26493551E8
충청북도,1.00264095E8,9.3571534E7
충청남도,1.48346392E8,1.38648301E8
전라북도,8.5030283E7,8.289555E7
전라남도,1.17591041E8,1.10801703E8
경상북도,1.65302496E8,1.56930604E8
경상남도,1.44195485E8,1.39404845E8
제주특별자치도,6.4095146E7,5.1747388E7
